201,Myonix,Guitar,Yamaha,100000
202,Hendrix,Guitar,Mantra,180000
203,Ozzy,Keyboard,Korg,280000
204,Angelo,Drums,Yamaha,190000
205,Slash,Guitar,Nux,260000
206,Bodom,Drums,Yamaha,800000
207,Sting,Bass,Pearl,167000
208,Freddie,Accessories,Yamaha,700500
209,Sunny ST,Accessories,Tama,120000
210,Mark Rock,Guitar,Epiphone,690000
211,Hamilton,Keyboard,Mantra,170000
212,JudeX,Violin,Casio,450000
213,Axl,Bass,Korg,380000
214,Calfin,Drums,Epiphone,670000
215,SunghaJ,Violin,Nux,230000
216,Kmai98,Flute,Pearl,150000
217,Golden,Flute,Mantra,300000
218,Dio,Guitar,Yamaha,500000
219,Fenio,Keyboard,Korg,700000
220,Boink,Bass,Tama,850000
